GEMEENTE,TOTAAL-BEVOLKING,OPPERVLAKTE,GEMIDDELDE-BEVOLKINGSDICHTHEID-PER-KM2
CHAUMONT-GISTOUX,11601,48085876,241
COURT-SAINT-ETIENNE,9946,26641666,373
GENAPPE,15135,89573550,169
GREZ-DOICEAU,12861,55440103,232
INCOURT,4903,38792008,126
ITTRE,6537,34920507,187
JODOIGNE,13428,73314351,183
LA HULPE,7479,15596221,480
MONT-SAINT-GUIBERT,6912,18630837,371
NIVELLES,26819,60601934,443
PERWEZ,8249,50813709,162
RIXENSART,21883,17540983,1248
TUBIZE,24108,32659758,738
VILLERS-LA-VILLE,10231,47451788,216
WATERLOO,29731,21028128,1414
WAVRE,33231,41803682,795
CHASTRE,7118,31272986,228
HELECINE,3274,16623280,197
LASNE,14083,47217747,298
ORP-JAUCHE,8387,50495402,166
OTTIGNIES-LOUVAIN-LA-NEUVE,31182,32963848,946
RAMILLIES,6201,48680143,127
REBECQ,10550,39076950,270
WALHAIN,6549,37935351,173
ATH,28526,126946082,225
BELOEIL,13769,61547318,224
BERNISSART,11673,43423577,269
BRUGELETTE,3501,28402856,123
CHIEVRES,6666,46914343,142
ELLEZELLES,5901,44694639,132
FLOBECQ,3483,23001355,151
FRASNES-LEZ-ANVAING,11439,112443977,102
CHAPELLE-LEZ-HERLAIMONT,14561,18096597,805
CHARLEROI,203871,102077352,1997
CHATELET,36196,27031223,1339
COURCELLES,30502,44236150,690
FARCIENNES,11177,10385417,1076
FLEURUS,22594,59280803,381
FONTAINE-L'EVEQUE,17258,28408158,608
GERPINNES,12248,47103479,260
MANAGE,22501,19601082,1148
MONTIGNY-LE-TILLEUL,10125,15095446,671
PONT-A-CELLES,16807,55731047,302
SENEFFE,11006,62765128,175
AISEAU-PRESLES,10729,22190603,483
LES BONS VILLERS,9136,42551704,215
BOUSSU,19896,20013511,994
DOUR,16921,33316602,508
FRAMERIES,21253,25949276,819
HENSIES,6778,25994328,261
JURBISE,10104,57857509,175
LENS,4277,49420195,87
MONS,93072,146529438,635
QUAREGNON,18862,11078918,1703
